,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial,very_likely_commercial,tourist_tax,unpaid_tourist_tax,geom
3209,15138232,https://www.airbnb.com/rooms/15138232,2021-12-17,Cozy & Bright Top Floor Flat by Santo Spirito!,95100872,Conte,2016-09-14,"Florence, Tuscany, Italy",12,Centro Storico,43.76885,11.24897,Entire home/apt,4,1.0,69.0,1.0,22,27,44,258,176,22,0,,t,15,2.77,35.2,2428.8,9.643835616438356,0,1,1,0,0,1,0,1,737.1242820976616,1,0,0,0,0,0,1,1,1,1,1,211.20000000000002,211.20000000000002,POINT (11.249 43.7689)
3210,15138975,https://www.airbnb.com/rooms/15138975,2021-12-17,PRIVATE SPACE: Camera con bagno incluso privato,96000092,Jacopo Vettori,2016-09-20,"Florence, Tuscany, Italy",6,Isolotto Legnaia,43.77344,11.19512,Private room,2,1.0,24.0,2.0,25,55,85,360,53,6,0,,f,5,0.87,9.600000000000001,230.4,2.63013698630137,0,0,1,0,0,1,0,0,4901.654896291692,0,0,1,0,0,0,1,0,1,1,0,57.60000000000001,57.60000000000001,POINT (11.1951 43.7734)
3211,15153634,https://www.airbnb.com/rooms/15153634,2021-12-17,Experience the authentic Florence!,24375231,Giacomo,2014-12-01,"Florence, Tuscany, Italy",1,Centro Storico,43.77098,11.2412,Entire home/apt,4,2.0,90.0,1.2,22,52,66,66,143,7,0,,t,1,2.34,11.200000000000001,1008.0,3.068493150684932,0,1,0,1,0,1,0,1,1214.6452419120512,1,0,0,0,0,0,1,1,0,0,0,67.2,67.2,POINT (11.2412 43.771)
3212,15155434,https://www.airbnb.com/rooms/15155434,2021-12-17,"Florence, Vieusseux, Style and Elegance",96146905,Andrea,2016-09-21,"Florence, Tuscany, Italy",2,Rifredi,43.79006,11.24622,Entire home/apt,4,2.0,38.0,2.0,5,24,42,300,217,9,1,"L'appartamento è regolarmente registrato per affitti brevi, come previsto dalla Legge Regionale Toscana n. 86 del 20 dicembre 2016. CIR - CODICE REGIONE TOSCANA: 0480-17LTN-0012",t,1,3.41,14.4,547.2,3.9452054794520546,0,1,0,0,1,1,1,1,2042.2423412347289,0,0,0,1,0,0,0,1,0,0,0,86.4,67.2,POINT (11.2462 43.7901)
3213,15172022,https://www.airbnb.com/rooms/15172022,2021-12-17,Sunny flat in San Lorenzo,27431050,Gessica,2015-02-08,"Florence, Tuscany, Italy",4,Centro Storico,43.77708,11.25332,Entire home/apt,3,2.0,64.0,2.6,3,33,58,255,168,1,1,,t,4,2.64,1.6,102.4,0.4383561643835617,0,1,1,0,0,1,0,1,492.03928712137304,1,0,0,0,0,0,1,1,1,0,1,9.600000000000001,9.600000000000001,POINT (11.2533 43.7771)
3215,15199649,https://www.airbnb.com/rooms/15199649,2021-12-17,Borgo Lab -,1125260,Massimiliano,2011-09-07,"Florence, Toscana, Italy",56,Centro Storico,43.77052,11.24022,Entire home/apt,4,1.0,65.0,2.0,0,0,0,0,118,3,0,,t,21,2.09,4.800000000000001,312.0,1.315068493150685,0,1,1,0,0,1,0,1,1302.4319313046349,1,0,0,0,0,0,1,1,1,1,1,28.800000000000004,28.800000000000004,POINT (11.2402 43.7705)
3219,15226391,https://www.airbnb.com/rooms/15226391,2021-12-17,Gemütliche Einzimmerwohnung in Florenz,15551688,Elisabetta,2014-05-15,"Berlin, Berlin, Germany",1,Gavinana Galluzzo,43.74946,11.23452,Entire home/apt,2,1.0,35.0,2.0,0,0,0,75,31,3,0,,t,1,0.49,4.800000000000001,168.0,1.315068493150685,0,1,0,1,0,0,0,1,3144.9763709793788,0,1,0,0,0,0,1,1,0,1,0,28.800000000000004,28.800000000000004,POINT (11.2345 43.7495)
3220,15228231,https://www.airbnb.com/rooms/15228231,2021-12-17,Wine Apartments Florence Vernaccia,63844698,WineApartmentsFlorence,2016-03-21,Italy,16,Centro Storico,43.76664,11.25488,Entire home/apt,4,1.0,60.0,2.0,26,56,86,327,7,1,0,,t,18,0.2,1.6,96.0,0.4383561643835617,0,1,1,0,0,0,0,1,723.3987377121044,1,0,0,0,0,0,1,1,1,1,1,9.600000000000001,9.600000000000001,POINT (11.2549 43.7666)
3221,15229170,https://www.airbnb.com/rooms/15229170,2021-12-17,Studio flat in XVI century building in the center,96798166,Samuele & Lavinia,2016-09-26,"Florence, Tuscany, Italy",1,Centro Storico,43.77454,11.24256,Entire home/apt,4,,59.0,2.0,6,31,54,112,301,36,2,,t,1,4.75,57.6,3398.4,15.780821917808218,0,1,0,1,0,1,0,1,1093.8225246036893,1,0,0,0,0,0,1,1,0,0,0,345.6,345.6,POINT (11.2426 43.7745)
3224,15235083,https://www.airbnb.com/rooms/15235083,2021-12-17,Boboli's Loft in the Center of Florence,29468385,Chiara,2015-03-16,"Florence, Tuscany, Italy",1,Centro Storico,43.7609,11.2416,Entire home/apt,5,1.0,90.0,14.0,0,0,0,0,71,5,0,,f,1,1.16,35.0,3150.0,9.58904109589041,0,1,0,1,0,1,0,0,1783.7629969510788,1,0,0,0,0,0,1,1,0,0,0,210.0,210.0,POINT (11.2416 43.7609)
